,Item ID,Fiscal Year,Number of Orders
211,7322500,2022,1
212,7322500,2023,1
213,7323400,2022,3
214,7329000,2024,1
215,7330800,2022,11
216,7330800,2023,8
217,7330800,2024,14
218,7330800-DL,2022,3
219,7330800-DL,2023,3
220,7330800-DL,2024,2
221,7332100,2022,72
222,7332100,2023,46
223,7332100,2024,43
224,7332500,2022,40
225,7332500,2023,23
226,7332500,2024,19
227,7332500-DL/,2024,1
228,7333400,2022,6
229,7333400,2023,6
230,7333400,2024,5
231,7333600,2022,1
232,7333600,2023,1
233,7339000,2022,5
234,7339000,2023,7
235,7339000,2024,8
236,7700091,2024,2
237,7720031,2022,62
238,7720031,2023,53
239,7720031,2024,79
240,7720037,2022,25
241,7720037,2023,25
242,7720037,2024,25
243,7720051,2022,8
244,7720051,2023,4
245,7720051,2024,11
246,7720066,2022,28
247,7720066,2023,31
248,7720066,2024,27
249,7720079,2022,24
250,7720079,2023,25
251,7720079,2024,25
252,7720084,2022,17
253,7720084,2023,18
254,7720084,2024,19
255,7720103,2022,16
256,7720103,2023,55
257,7720103,2024,55
258,7720105,2022,42
259,7720105,2023,54
260,7720105,2024,58
261,7720106,2022,6
262,7720106,2023,11
263,7720106,2024,12
264,7720113,2022,207
265,7720113,2023,221
266,7720113,2024,228
267,7720122,2024,6
268,7721060,2022,17
269,7721060,2023,6
270,7721060,2024,6
271,7721065,2023,22
272,7721065,2024,41
273,7721069,2024,2
274,7721071,2022,9
275,7721071,2023,10
276,7721071,2024,11
277,7721073,2023,17
278,7721073,2024,6
279,7730014,2022,27
280,7730014,2023,2
281,7730014,2024,2
282,7730039,2024,2
283,7730061,2022,7
284,7730061,2023,6
285,7730061,2024,7
286,7730071,2022,8
287,7730071,2023,7
288,7730071,2024,8
289,8200801,2024,4
290,8200806,2022,53
291,8200806,2023,52
292,8200806,2024,76
293,8200807,2022,2
294,8200809,2023,2
295,8200811,2022,66
296,8200811,2023,30
297,8200811,2024,4
298,8204901,2022,5
299,8204901,2023,10
300,8204901,2024,3
301,8204904,2022,2
302,8204904,2023,1
303,8204904,2024,1
304,8204905,2022,4
305,8204905,2023,10
306,8204905,2024,2
307,8204906,2022,6
308,8204906,2023,11
309,8204906,2024,29
310,8204907,2024,2
311,8204910,2022,28
312,8204910,2023,2
313,8204911,2022,55
314,8204911,2023,67
315,8204911,2024,64
316,8600853,2022,1
317,8600853,2023,1
318,8604960,2022,1
319,8604960,2024,1
320,8620853,2022,17
321,8620853,2023,12
322,8620853,2024,15
