,Invoice Date,Volume (L),Quarter,Fiscal Year,Item ID,Product,Product Type,Species,Anticoagulant,Gender
93,2022-08-10,0.1,2022Q2,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
97,2022-08-15,0.1,2022Q2,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
101,2022-08-16,0.1,2022Q2,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
106,2022-08-25,0.05,2022Q2,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
111,2022-08-30,0.05,2022Q2,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
118,2022-09-12,0.1,2022Q2,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
119,2022-09-12,1.0,2022Q2,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
122,2022-09-13,0.5,2022Q2,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
131,2022-09-22,0.1,2022Q2,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
132,2022-09-22,0.5,2022Q2,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
134,2022-09-26,0.1,2022Q2,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
139,2022-10-03,0.1,2022Q2,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
145,2022-10-12,1.0,2022Q2,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
146,2022-10-17,0.5,2022Q2,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
151,2022-10-24,0.1,2022Q2,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
152,2022-10-24,0.05,2022Q2,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
178,2022-11-28,0.5,2022Q3,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
183,2022-12-05,0.5,2022Q3,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
184,2022-12-06,0.1,2022Q3,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
185,2022-12-08,0.1,2022Q3,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
188,2022-12-12,0.1,2022Q3,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
191,2022-12-12,0.1,2022Q3,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
204,2023-01-03,0.2,2022Q3,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
208,2023-01-09,0.1,2022Q3,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
209,2023-01-09,0.5,2022Q3,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
211,2023-01-09,0.05,2022Q3,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
213,2023-01-10,0.1,2022Q3,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
216,2023-01-12,0.2,2022Q3,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
226,2023-01-23,1.0,2022Q3,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
231,2023-01-24,1.0,2022Q3,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
232,2023-01-24,0.1,2022Q3,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
233,2023-01-25,0.5,2022Q3,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
242,2023-02-02,0.2,2022Q4,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
243,2023-02-06,0.05,2022Q4,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
249,2023-02-09,0.1,2022Q4,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
253,2023-02-14,0.05,2022Q4,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
272,2023-03-06,0.5,2022Q4,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
278,2023-03-09,0.1,2022Q4,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
280,2023-03-13,0.5,2022Q4,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
282,2023-03-13,0.5,2022Q4,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
292,2023-04-03,0.05,2022Q4,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
296,2023-04-04,0.05,2022Q4,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
306,2023-04-12,0.05,2022Q4,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
307,2023-04-12,0.5,2022Q4,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
308,2023-04-12,0.1,2022Q4,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
312,2023-04-24,1.0,2022Q4,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
315,2023-04-25,0.2,2022Q4,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
316,2023-04-25,0.5,2022Q4,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
318,2023-04-27,0.1,2022Q4,2022,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
322,2023-05-02,0.1,2023Q1,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
326,2023-05-16,1.0,2023Q1,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
327,2023-05-16,0.5,2023Q1,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
347,2023-06-12,0.2,2023Q1,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
351,2023-06-15,0.1,2023Q1,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
364,2023-07-10,0.1,2023Q1,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
365,2023-07-11,0.1,2023Q1,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
367,2023-07-11,0.1,2023Q1,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
371,2023-07-17,0.05,2023Q1,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
387,2023-07-31,0.5,2023Q1,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
401,2023-08-15,0.1,2023Q2,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
403,2023-08-16,0.05,2023Q2,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
406,2023-08-21,0.1,2023Q2,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
419,2023-09-05,0.1,2023Q2,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
435,2023-09-27,0.1,2023Q2,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
441,2023-10-02,0.5,2023Q2,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
450,2023-10-10,1.0,2023Q2,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
453,2023-10-12,1.0,2023Q2,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
466,2023-10-30,0.2,2023Q2,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
472,2023-11-16,1.0,2023Q3,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
480,2023-12-04,0.05,2023Q3,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
486,2023-12-07,0.1,2023Q3,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
489,2023-12-13,0.05,2023Q3,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
491,2023-12-18,0.1,2023Q3,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
500,2024-01-03,0.2,2023Q3,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
507,2024-01-16,0.5,2023Q3,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
509,2024-01-17,0.5,2023Q3,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
526,2024-02-08,1.0,2023Q4,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
527,2024-02-08,2.0,2023Q4,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
534,2024-02-19,0.1,2023Q4,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
536,2024-02-22,1.0,2023Q4,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
539,2024-02-27,1.0,2023Q4,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
541,2024-02-28,0.1,2023Q4,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
544,2024-03-06,0.2,2023Q4,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
548,2024-03-11,0.1,2023Q4,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
558,2024-03-25,0.1,2023Q4,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
561,2024-03-26,0.1,2023Q4,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
563,2024-04-01,0.1,2023Q4,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
564,2024-04-08,1.0,2023Q4,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
571,2024-04-17,0.5,2023Q4,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
572,2024-04-18,0.30000000000000004,2023Q4,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
574,2024-04-22,1.0,2023Q4,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
578,2024-04-29,1.0,2023Q4,2023,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
581,2024-05-08,1.0,2024Q1,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
582,2024-05-13,0.5,2024Q1,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
583,2024-05-13,0.1,2024Q1,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
587,2024-05-14,0.05,2024Q1,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
597,2024-05-29,0.1,2024Q1,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
607,2024-06-27,0.1,2024Q1,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
612,2024-07-15,1.0,2024Q1,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
636,2024-08-26,0.5,2024Q2,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
643,2024-08-28,1.0,2024Q2,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
645,2024-08-29,0.05,2024Q2,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
646,2024-09-03,0.05,2024Q2,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
655,2024-09-05,0.2,2024Q2,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
663,2024-09-12,0.5,2024Q2,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
665,2024-09-23,0.1,2024Q2,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
671,2024-09-24,0.1,2024Q2,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
680,2024-10-14,0.1,2024Q2,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
684,2024-10-16,0.1,2024Q2,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
689,2024-10-22,0.1,2024Q2,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
693,2024-11-05,1.0,2024Q3,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
695,2024-11-05,0.1,2024Q3,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
697,2024-11-11,0.1,2024Q3,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
698,2024-11-11,2.0,2024Q3,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
703,2024-11-21,0.5,2024Q3,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
705,2024-12-02,0.1,2024Q3,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
712,2024-12-10,0.5,2024Q3,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
736,2025-01-21,0.5,2024Q3,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
755,2025-02-10,0.1,2024Q4,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
760,2025-02-12,0.5,2024Q4,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
763,2025-02-13,0.05,2024Q4,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
775,2025-02-24,0.1,2024Q4,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
777,2025-02-25,1.0,2024Q4,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
780,2025-02-26,0.5,2024Q4,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
788,2025-03-10,1.0,2024Q4,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
794,2025-03-11,0.5,2024Q4,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
799,2025-03-17,0.1,2024Q4,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
812,2025-03-25,0.1,2024Q4,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
818,2025-03-27,0.1,2024Q4,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
822,2025-04-02,0.5,2024Q4,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
826,2025-04-03,0.5,2024Q4,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
830,2025-04-14,0.5,2024Q4,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
840,2025-04-23,0.5,2024Q4,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
841,2025-04-24,0.5,2024Q4,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
848,2025-04-29,0.5,2024Q4,2024,7332100,SERUM,FILTERED,DONKEY,NONE,GENDER UNSPECIFIED
851,2022-05-02,26.0,2022Q1,2022,8200806,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED
852,2022-05-02,1.0,2022Q1,2022,8204911,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED
861,2022-05-09,26.0,2022Q1,2022,8200806,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED
863,2022-05-09,1.0,2022Q1,2022,8204911,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED
865,2022-05-16,26.0,2022Q1,2022,8200806,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED
867,2022-05-16,1.0,2022Q1,2022,8204911,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED
872,2022-05-23,26.0,2022Q1,2022,8200806,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED
873,2022-05-23,1.0,2022Q1,2022,8204911,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED
878,2022-05-31,26.0,2022Q1,2022,8200806,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED
879,2022-05-31,1.0,2022Q1,2022,8204911,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED
881,2022-06-06,26.0,2022Q1,2022,8200806,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED
884,2022-06-06,1.0,2022Q1,2022,8204911,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED
887,2022-06-13,26.0,2022Q1,2022,8200806,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED
889,2022-06-13,1.0,2022Q1,2022,8204911,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED
891,2022-06-13,0.5,2022Q1,2022,8204911,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED
895,2022-06-20,26.0,2022Q1,2022,8200806,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED
897,2022-06-20,1.0,2022Q1,2022,8204911,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED
902,2022-06-27,26.0,2022Q1,2022,8200806,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED
905,2022-06-27,1.0,2022Q1,2022,8204911,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED
911,2022-07-05,26.0,2022Q1,2022,8200806,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED
912,2022-07-05,1.0,2022Q1,2022,8204911,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED
915,2022-07-11,26.0,2022Q1,2022,8200806,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED
917,2022-07-11,1.0,2022Q1,2022,8204911,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED
926,2022-07-18,26.0,2022Q1,2022,8200806,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED
930,2022-07-18,1.0,2022Q1,2022,8204911,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED
936,2022-07-20,8.0,2022Q1,2022,8200806,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED
943,2022-07-25,26.0,2022Q1,2022,8200806,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED
946,2022-07-25,1.0,2022Q1,2022,8204911,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED
949,2022-08-01,26.0,2022Q2,2022,8200806,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED
951,2022-08-01,1.0,2022Q2,2022,8204911,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED
958,2022-08-08,26.0,2022Q2,2022,8200806,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED
964,2022-08-08,1.0,2022Q2,2022,8204911,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED
968,2022-08-15,26.0,2022Q2,2022,8200806,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED
972,2022-08-15,1.0,2022Q2,2022,8204911,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED
973,2022-08-15,0.5,2022Q2,2022,8204911,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED
978,2022-08-22,26.0,2022Q2,2022,8200806,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED
982,2022-08-22,1.0,2022Q2,2022,8204911,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED
985,2022-08-29,26.0,2022Q2,2022,8200806,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED
990,2022-08-29,1.0,2022Q2,2022,8204911,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED
997,2022-09-06,26.0,2022Q2,2022,8200806,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED
999,2022-09-06,1.0,2022Q2,2022,8204911,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED
1001,2022-09-12,26.0,2022Q2,2022,8200806,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED
1004,2022-09-12,1.0,2022Q2,2022,8204911,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED
1012,2022-09-19,26.0,2022Q2,2022,8200806,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED
1016,2022-09-19,1.0,2022Q2,2022,8204911,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED
1021,2022-09-26,18.0,2022Q2,2022,8200806,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED
1026,2022-09-26,1.0,2022Q2,2022,8204911,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED
1032,2022-10-03,18.0,2022Q2,2022,8200806,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED
1037,2022-10-03,1.0,2022Q2,2022,8204911,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED
1044,2022-10-10,18.0,2022Q2,2022,8200806,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED
1047,2022-10-10,1.0,2022Q2,2022,8204911,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED
1057,2022-10-17,18.0,2022Q2,2022,8200806,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED
1061,2022-10-17,1.0,2022Q2,2022,8204911,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED
1066,2022-10-24,1.0,2022Q2,2022,8204911,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED
1070,2022-10-25,8.0,2022Q2,2022,8200806,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED
1077,2022-10-31,10.0,2022Q2,2022,8200806,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED
1079,2022-10-31,1.0,2022Q2,2022,8204911,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED
1081,2022-10-31,0.5,2022Q2,2022,8204911,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED
1087,2022-11-02,10.0,2022Q3,2022,8200806,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED
1092,2022-11-07,1.0,2022Q3,2022,8204911,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED
1095,2022-11-08,18.0,2022Q3,2022,8200806,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED
1099,2022-11-14,18.0,2022Q3,2022,8200806,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED
